region_id,week_index,education_exposure_index,engagement_quality,configuration_rate,lead_rate,revenue_index,baseline_intent_index,paid_media_index,availability_index,offer_index,launch_phase
R01,1,73.63891,0.614875,0.086402,0.04684,167089.74,1.283626,0.851104,0.778578,0.271947,0
R01,2,81.63566,0.565896,0.090565,0.047623,146781.02,1.508539,0.689218,0.749456,0.463308,0
R01,3,89.06512,0.613634,0.107499,0.053384,175730.78,1.733514,0.997119,0.859163,0.340508,0
R01,4,71.61144,0.555123,0.081697,0.040557,157627.52,1.299016,0.573749,0.691014,0.66003,0
R01,5,80.02739,0.601127,0.097082,0.052297,188833.56,1.628382,0.869394,0.923145,0.542361,0
R01,6,74.21373,0.550832,0.078554,0.04187,145628.69,1.121096,0.588751,0.915351,0.448411,0
R01,7,58.50832,0.513316,0.077716,0.042461,157921.54,0.86857,0.697001,0.842616,0.507077,0
R01,8,84.15163,0.593062,0.089316,0.048293,157789.97,1.163472,1.060592,0.740079,0.471891,1
R01,9,79.68349,0.552433,0.084133,0.048541,178686.45,0.952474,1.031523,0.82976,0.518001,1
R01,10,75.38438,0.557226,0.086999,0.049857,160746.44,1.056573,0.965833,0.825758,0.449411,1
R01,11,83.27958,0.578095,0.078314,0.04297,169682.2,1.014023,0.959641,0.937786,0.493802,1
R01,12,72.68888,0.589792,0.089068,0.043987,145571.07,1.095157,0.940016,0.775822,0.344419,1
R01,13,83.12777,0.572784,0.085176,0.046638,175072.0,0.956933,0.969812,0.851048,0.394903,0
R01,14,85.95774,0.610616,0.087016,0.048873,162435.6,1.248295,1.127989,0.908982,0.27313,0
R01,15,87.88451,0.622193,0.101704,0.052582,178099.35,1.634518,0.865983,0.862897,0.517859,0
R01,16,83.1156,0.578856,0.09458,0.050028,169512.44,1.471083,0.925082,0.7533,0.481766,0
R01,17,86.02883,0.635528,0.09845,0.049088,166675.55,1.671334,0.873242,0.729583,0.366077,0
R01,18,81.22801,0.612715,0.081797,0.045437,180173.85,1.208347,0.802499,0.833567,0.672611,0
R01,19,61.58657,0.523748,0.069533,0.038584,171530.56,1.028302,0.587501,0.67811,0.693971,0
R01,20,67.77653,0.569813,0.075715,0.042834,172638.82,0.981359,0.881031,0.828558,0.620197,0
R01,21,74.14531,0.560075,0.072235,0.043198,126829.34,0.857853,0.82331,0.654658,0.426401,0
R01,22,75.65971,0.604213,0.078189,0.046153,179398.33,0.755698,0.876499,0.852574,0.75417,0
R01,23,80.24038,0.582209,0.073046,0.041538,138571.69,0.917853,1.094911,0.662972,0.719592,0
R01,24,73.21476,0.544308,0.072711,0.041059,206145.95,0.736585,0.925431,0.78948,0.707675,0
R01,25,81.55451,0.552026,0.083249,0.051672,183303.1,1.082919,0.963396,0.817705,0.826907,0
R01,26,66.6653,0.506206,0.07348,0.03866,158003.7,0.851161,0.750952,0.893513,0.677096,0
R02,1,75.48184,0.55553,0.079834,0.040899,152577.52,0.856979,0.818835,0.8062,0.425148,0
R02,2,74.61089,0.619864,0.088739,0.044946,198508.05,1.126481,0.99198,0.701089,0.466002,0
R02,3,75.71245,0.578371,0.082153,0.043043,160886.11,1.115783,0.992268,0.888009,0.393463,0
R02,4,62.87392,0.557247,0.067262,0.037512,172147.23,0.886401,0.502195,0.712123,0.482416,0
R02,5,68.61688,0.487842,0.087813,0.045623,174014.51,0.943482,1.009103,0.820478,0.484525,0
R02,6,68.01886,0.579411,0.075907,0.047935,167947.46,0.699355,0.715322,0.784515,0.278586,0
R02,7,67.524,0.537184,0.072421,0.041785,166803.72,0.445412,0.937737,0.908305,0.451521,0
R02,8,81.00653,0.577243,0.071993,0.042329,171206.04,0.620621,1.034043,0.657112,0.539772,1
R02,9,71.27381,0.522273,0.083647,0.050251,140860.6,0.808891,1.128463,0.774825,0.382798,1
R02,10,70.77728,0.540948,0.071577,0.043762,165450.85,0.50799,1.36699,0.823707,0.209256,1
R02,11,79.21726,0.576844,0.074379,0.042703,150686.26,0.634371,1.203997,0.861129,0.317403,1
R02,12,75.33218,0.570976,0.080451,0.045727,174687.91,0.639479,0.938107,0.82213,0.529852,1
R02,13,63.55988,0.525506,0.072512,0.046449,136849.97,0.63113,0.710835,0.628484,0.347128,0
R02,14,62.51658,0.493639,0.06521,0.03514,168010.79,0.69629,0.735577,0.631255,0.310553,0
