region_id,week_index,treatment_group,post_period,treatment_exposure_index,configuration_rate,baseline_intent_index,availability_index
R01,1,0,0,19.11886,0.074784,0.858063,0.888573
R01,2,0,0,22.64808,0.076074,0.966218,0.85304
R01,3,0,0,17.51071,0.078553,0.922883,0.835824
R01,4,0,0,25.14102,0.071201,0.885094,0.756988
R01,5,0,0,19.17572,0.073796,0.864907,0.912613
R01,6,0,0,15.77868,0.062186,0.882389,0.807561
R01,7,0,0,21.99496,0.078235,0.875042,0.816098
R01,8,0,0,18.48915,0.071534,0.87227,0.870452
R01,9,0,1,18.05385,0.069403,0.849804,0.746051
R01,10,0,1,23.12674,0.075518,0.923686,0.784874
R01,11,0,1,21.29528,0.074384,0.932125,0.876872
R01,12,0,1,22.6918,0.074818,0.919327,0.813953
R01,13,0,1,18.63867,0.072043,0.942159,0.859941
R01,14,0,1,20.22512,0.069682,0.853247,0.887364
R01,15,0,1,19.36473,0.074315,0.953833,0.819515
R01,16,0,1,21.0989,0.066002,0.929651,0.774206
R02,1,1,0,25.64443,0.089615,1.05633,0.822294
R02,2,1,0,22.72545,0.089037,1.070677,0.851243
R02,3,1,0,23.06159,0.083055,1.058332,0.826763
R02,4,1,0,17.16272,0.0773,1.102612,0.850493
R02,5,1,0,23.34709,0.07328,0.93282,0.806994
R02,6,1,0,19.86289,0.077478,1.126577,0.869977
R02,7,1,0,19.29417,0.07756,1.069028,0.776946
R02,8,1,0,18.14315,0.083197,1.095484,0.859591
R02,9,1,1,62.92376,0.09581,1.025993,0.811554
R02,10,1,1,60.618,0.094734,1.058539,0.833472
R02,11,1,1,61.74583,0.102924,1.054681,0.868064
R02,12,1,1,60.90112,0.099282,1.075599,0.67128
R02,13,1,1,59.81585,0.096422,1.065204,0.798108
R02,14,1,1,63.07025,0.096424,1.115028,0.853602
R02,15,1,1,63.92111,0.092428,1.105947,0.75851
R02,16,1,1,62.07097,0.083854,1.059371,0.858169
R03,1,1,0,19.06901,0.068162,1.101068,0.813871
R03,2,1,0,19.42451,0.066518,0.984962,0.83532
R03,3,1,0,22.76574,0.07144,1.003026,0.786068
R03,4,1,0,17.80524,0.067641,1.074324,0.817723
R03,5,1,0,22.93565,0.055391,1.129729,0.739275
R03,6,1,0,16.58753,0.056695,1.032182,0.839231
R03,7,1,0,18.81137,0.067817,1.058466,0.863836
R03,8,1,0,20.30101,0.065992,1.010186,0.907718
R03,9,1,1,66.61445,0.089075,1.079929,0.836051
R03,10,1,1,59.05975,0.079476,1.076488,0.811715
R03,11,1,1,61.89082,0.081134,1.049645,0.814933
R03,12,1,1,59.43631,0.082793,1.073959,0.752466
R03,13,1,1,65.23833,0.074626,1.091097,0.793211
R03,14,1,1,64.11781,0.075554,1.036592,0.728726
R03,15,1,1,62.24868,0.077882,1.102671,0.855463
R03,16,1,1,61.6443,0.079563,1.109286,0.812259
R04,1,0,0,19.85265,0.079894,0.977907,0.916725
R04,2,0,0,20.39917,0.081813,0.899706,0.851751
R04,3,0,0,21.55122,0.076208,0.963415,0.799628
R04,4,0,0,17.75577,0.082338,0.917385,0.807547
R04,5,0,0,17.20752,0.067141,0.940143,0.871133
R04,6,0,0,22.13051,0.066257,0.925804,0.815036
R04,7,0,0,17.84089,0.074342,0.960502,0.898278
R04,8,0,0,21.03546,0.078752,0.885503,0.839848
R04,9,0,1,22.73629,0.070722,0.899006,0.830961
R04,10,0,1,18.37146,0.078051,0.933082,0.77903
R04,11,0,1,23.56864,0.080164,0.968546,0.951405
R04,12,0,1,20.46507,0.064768,0.92516,0.807454
R04,13,0,1,17.46211,0.06937,1.016236,0.788769
R04,14,0,1,19.15417,0.071783,0.976842,0.884172
R04,15,0,1,20.50668,0.070529,0.929917,0.771892
R04,16,0,1,16.1421,0.073405,0.85564,0.87649
R05,1,1,0,21.82308,0.064648,0.596818,0.786129
R05,2,1,0,18.31357,0.070401,0.627853,0.898711
R05,3,1,0,21.23429,0.067096,0.670447,0.791815
R05,4,1,0,17.70113,0.072352,0.6721,0.823971
R05,5,1,0,17.72788,0.063384,0.632309,0.806814
R05,6,1,0,22.78346,0.059623,0.632199,0.829365
R05,7,1,0,20.48951,0.066681,0.619493,0.880523
R05,8,1,0,21.19907,0.067542,0.716571,0.837549
R05,9,1,1,60.22778,0.085908,0.725271,0.873139
R05,10,1,1,63.70517,0.083577,0.579407,0.874916
R05,11,1,1,63.92747,0.082446,0.616592,0.730659
R05,12,1,1,60.34938,0.079195,0.620954,0.856424
R05,13,1,1,68.02683,0.077923,0.601664,0.75244
R05,14,1,1,54.12259,0.078143,0.618712,0.864982
R05,15,1,1,63.1329,0.07173,0.636698,0.771183
R05,16,1,1,56.3627,0.076116,0.635785,0.863048
R06,1,1,0,20.66835,0.077758,0.761667,0.783549
R06,2,1,0,16.4779,0.070149,0.692817,0.808784
R06,3,1,0,19.27923,0.083253,0.637966,0.863661
R06,4,1,0,20.41676,0.073703,0.684445,0.793734
R06,5,1,0,18.04061,0.064536,0.78244,0.81876
R06,6,1,0,21.52075,0.076636,0.710252,0.897975
R06,7,1,0,17.4506,0.073832,0.72917,0.803094
R06,8,1,0,24.08112,0.071992,0.762316,0.83602
R06,9,1,1,64.44998,0.089312,0.796568,0.743597
R06,10,1,1,65.81252,0.09174,0.756255,0.820723
R06,11,1,1,62.38599,0.087608,0.735019,0.754693
R06,12,1,1,63.37541,0.086206,0.734735,0.812639
R06,13,1,1,57.97092,0.092012,0.793434,0.902463
R06,14,1,1,63.23432,0.081457,0.86764,0.7844
R06,15,1,1,62.46272,0.08353,0.776997,0.797717
R06,16,1,1,59.90358,0.086351,0.718762,0.791415
R07,1,0,0,20.85461,0.055359,0.68414,0.805813
R07,2,0,0,16.82689,0.059795,0.749125,0.775384
R07,3,0,0,20.45836,0.058896,0.696112,0.774762
R07,4,0,0,21.30257,0.06547,0.790346,0.770847
R07,5,0,0,25.10986,0.057917,0.677416,0.865956
R07,6,0,0,19.96618,0.058308,0.769759,0.808274
R07,7,0,0,22.0512,0.059871,0.717421,0.852763
R07,8,0,0,21.66122,0.06014,0.819689,0.872272
R07,9,0,1,14.56445,0.06109,0.840006,0.884716
R07,10,0,1,23.07118,0.0642,0.721521,0.866018
R07,11,0,1,16.7909,0.066562,0.758131,0.854339
R07,12,0,1,19.87017,0.058016,0.730828,0.829016
R07,13,0,1,20.32168,0.058914,0.696575,0.822014
R07,14,0,1,16.95624,0.058185,0.799557,0.802061
R07,15,0,1,22.90883,0.061797,0.73767,0.813443
R07,16,0,1,19.59027,0.066226,0.799176,0.851222
R08,1,1,0,20.26183,0.071109,0.771155,0.770075
R08,2,1,0,25.94362,0.077295,0.777442,0.911097
R08,3,1,0,20.59395,0.070431,0.75751,0.861665
R08,4,1,0,18.51135,0.075048,0.755889,0.807926
R08,5,1,0,21.78212,0.065497,0.732046,0.795606
R08,6,1,0,21.22989,0.068146,0.701593,0.777926
R08,7,1,0,17.74459,0.071327,0.774089,0.797323
R08,8,1,0,16.71798,0.068473,0.686902,0.809994
R08,9,1,1,54.86771,0.091419,0.751658,0.882108
R08,10,1,1,64.06098,0.084484,0.715205,0.83564
R08,11,1,1,61.74638,0.083957,0.755241,0.845723
R08,12,1,1,58.31777,0.089177,0.769249,0.826737
R08,13,1,1,59.99887,0.087838,0.771317,0.700344
R08,14,1,1,57.8711,0.080999,0.839594,0.835155
R08,15,1,1,61.25771,0.080036,0.813317,0.841462
R08,16,1,1,62.90656,0.086289,0.801768,0.811298
R09,1,0,0,15.63372,0.080565,1.080045,0.835004
R09,2,0,0,14.42182,0.0757,1.115361,0.821367
R09,3,0,0,21.58004,0.079792,1.074682,0.926998
R09,4,0,0,17.26084,0.071936,1.111916,0.888842
R09,5,0,0,19.20605,0.072318,1.011657,0.807642
R09,6,0,0,17.94745,0.078596,1.019267,0.826366
R09,7,0,0,24.17172,0.068476,1.043971,0.949247
R09,8,0,0,16.23431,0.076905,1.118347,0.851973
R09,9,0,1,17.93864,0.076358,1.065808,0.838948
R09,10,0,1,18.54911,0.076914,1.090954,0.812346
R09,11,0,1,13.65911,0.081626,1.02116,0.838522
R09,12,0,1,22.2064,0.070151,1.073366,0.845078
R09,13,0,1,21.23522,0.073758,1.18421,0.765238
R09,14,0,1,16.52917,0.072849,1.135872,0.820784
R09,15,0,1,18.90131,0.077064,0.946449,0.81105
R09,16,0,1,18.14882,0.071198,1.055787,0.798388
R10,1,0,0,19.50971,0.061816,0.744648,0.754671
R10,2,0,0,16.93367,0.065906,0.70609,0.828707
R10,3,0,0,22.39527,0.066816,0.719459,0.858911
R10,4,0,0,21.95591,0.069211,0.663917,0.738648
R10,5,0,0,18.86213,0.061797,0.732223,0.89845
R10,6,0,0,21.51406,0.063433,0.79256,0.769361
R10,7,0,0,17.79261,0.061647,0.72152,0.90682
R10,8,0,0,18.70889,0.062788,0.608929,0.767339
R10,9,0,1,18.32049,0.060056,0.703608,0.834951
R10,10,0,1,17.08032,0.065241,0.721466,0.841095
R10,11,0,1,22.73141,0.070011,0.802275,0.871538
R10,12,0,1,21.43482,0.064121,0.721182,0.794301
R10,13,0,1,19.79445,0.06578,0.691679,0.819374
R10,14,0,1,17.46364,0.060642,0.665576,0.94524
R10,15,0,1,18.78548,0.062932,0.761253,0.777852
R10,16,0,1,17.57091,0.063169,0.564606,0.794432
R11,1,0,0,23.63025,0.083061,0.912381,0.895575
R11,2,0,0,17.49789,0.0797,0.878276,0.872559
R11,3,0,0,16.4865,0.0774,0.952788,0.859928
R11,4,0,0,22.72689,0.070974,0.925981,0.851259
R11,5,0,0,17.5639,0.07427,0.816725,0.80774
R11,6,0,0,19.7042,0.075947,0.881397,0.838068
R11,7,0,0,16.9663,0.079566,0.920288,0.828591
R11,8,0,0,20.48257,0.071375,0.892143,0.842329
R11,9,0,1,16.97719,0.08358,0.910393,0.787988
R11,10,0,1,22.29294,0.085596,0.865816,0.835505
R11,11,0,1,21.74809,0.076065,0.789886,0.783489
R11,12,0,1,20.6109,0.078911,0.716878,0.82813
R11,13,0,1,20.58249,0.074629,0.892674,0.79867
R11,14,0,1,20.93954,0.070257,0.855663,0.833781
